prod_dimensions,stock_xfer_date
19x16x10 cm,2023-02-09
17x17x15 cm,2023-01-14
17x17x17 cm,2023-02-20
9x8x7 cm,2023-01-28
12x15x15 cm,2023-02-01
18x9x17 cm,2023-01-16
11x14x9 cm,2023-03-12
15x15x16 cm,2023-01-09
18x18x16 cm,2023-02-26
19x18x13 cm,2023-03-10
6x11x9 cm,2023-01-29
14x17x14 cm,2023-01-22
10x10x5 cm,2023-03-09
5x6x13 cm,2023-02-28
19x18x15 cm,2023-01-01
11x13x10 cm,2023-01-16
13x20x9 cm,2023-02-18
10x6x18 cm,2023-01-14
8x16x16 cm,2023-02-06
10x6x20 cm,2023-01-14
13x10x19 cm,2023-01-19
15x13x15 cm,2023-02-11
14x17x10 cm,2023-02-12
14x8x17 cm,2023-01-19
8x10x12 cm,2023-03-11
8x11x6 cm,2023-01-28
17x7x9 cm,2023-02-26
13x14x6 cm,2023-02-04
13x13x16 cm,2023-01-25
8x12x19 cm,2023-02-20
10x9x7 cm,2023-01-09
14x11x15 cm,2023-01-26
19x17x10 cm,2023-02-17
6x9x15 cm,2023-01-01
13x7x13 cm,2023-01-03
13x13x7 cm,2023-01-22
14x14x15 cm,2023-02-09
19x14x10 cm,2023-01-17
6x11x13 cm,2023-02-18
11x9x18 cm,2023-03-14
13x5x15 cm,2023-02-01
15x19x15 cm,2023-02-18
13x12x14 cm,2023-01-08
5x8x6 cm,2023-01-30
5x6x12 cm,2023-01-07
8x13x5 cm,2023-01-12
16x14x18 cm,2023-02-28
18x10x12 cm,2023-03-14
12x7x19 cm,2023-01-23
16x11x20 cm,2023-03-08
8x5x19 cm,2023-01-17
13x20x13 cm,2023-02-28
12x6x19 cm,2023-01-16
10x13x7 cm,2023-02-27
12x19x20 cm,2023-01-08
19x12x12 cm,2023-01-29
9x20x20 cm,2023-03-11
8x12x13 cm,2023-02-18
8x8x5 cm,2023-02-11
20x14x20 cm,2023-01-07
9x11x10 cm,2023-01-12
9x12x10 cm,2023-02-25
7x18x18 cm,2023-03-14
19x5x18 cm,2023-01-19
19x17x10 cm,2023-03-02
12x11x14 cm,2023-01-10
14x17x17 cm,2023-02-10
20x19x18 cm,2023-01-16
16x6x10 cm,2023-02-08
15x5x12 cm,2023-03-12
19x13x7 cm,2023-02-04
7x14x10 cm,2023-01-09
19x15x15 cm,2023-02-27
18x12x18 cm,2023-01-01
13x6x9 cm,2023-02-19
16x16x5 cm,2023-03-08
8x14x15 cm,2023-01-17
6x13x15 cm,2023-02-26
13x6x15 cm,2023-02-07
17x5x20 cm,2023-01-28
5x10x8 cm,2023-02-12
15x18x10 cm,2023-03-11
14x11x18 cm,2023-02-28
14x16x11 cm,2023-03-05
18x11x20 cm,2023-01-24
7x9x18 cm,2023-01-21
6x14x6 cm,2023-03-09
15x12x19 cm,2023-02-14
7x10x12 cm,2023-02-11
5x16x19 cm,2023-02-04
20x13x16 cm,2023-02-11
19x11x14 cm,2023-01-18
17x16x17 cm,2023-01-11
20x15x11 cm,2023-03-05
12x7x18 cm,2023-02-28
9x9x12 cm,2023-03-14
17x19x19 cm,2023-02-22
18x14x12 cm,2023-01-28
13x13x17 cm,2023-02-15
18x20x10 cm,2023-02-08
9x14x17 cm,2023-03-14
13x6x10 cm,2023-02-28
20x19x17 cm,2023-02-25
16x9x15 cm,2023-03-05
6x15x12 cm,2023-03-02
12x17x7 cm,2023-02-09
17x15x5 cm,2023-01-11
13x13x17 cm,2023-02-15
15x11x20 cm,2023-01-30
13x9x11 cm,2023-03-10
19x14x14 cm,2023-01-07
12x8x19 cm,2023-01-13
15x18x15 cm,2023-02-10
12x8x18 cm,2023-02-08
8x13x15 cm,2023-01-27
9x19x15 cm,2023-01-24
14x17x20 cm,2023-03-04
16x10x7 cm,2023-02-09
13x18x12 cm,2023-03-11
19x14x14 cm,2023-01-03
18x11x16 cm,2023-03-13
5x11x16 cm,2023-02-20
10x20x18 cm,2023-02-28
11x20x13 cm,2023-02-04
12x8x7 cm,2023-01-07
11x7x17 cm,2023-01-13
18x16x9 cm,2023-01-25
17x6x8 cm,2023-01-26
9x7x19 cm,2023-02-11
5x12x5 cm,2023-02-28
20x14x12 cm,2023-01-08
19x11x18 cm,2023-01-10
12x8x7 cm,2023-03-05
11x11x5 cm,2023-01-26
6x6x17 cm,2023-02-25
18x10x18 cm,2023-02-23
12x15x7 cm,2023-02-03
10x13x15 cm,2023-01-05
19x11x9 cm,2023-03-12
5x14x11 cm,2023-02-25
8x6x5 cm,2023-01-09
12x7x16 cm,2023-02-14
20x19x9 cm,2023-01-28
9x12x6 cm,2023-03-04
18x10x6 cm,2023-02-16
20x19x19 cm,2023-01-07
18x12x13 cm,2023-03-01
10x7x14 cm,2023-03-08
11x14x15 cm,2023-02-01
19x15x18 cm,2023-01-19
11x14x9 cm,2023-01-24
18x6x8 cm,2023-02-17
8x12x17 cm,2023-01-22
13x12x19 cm,2023-01-09
12x8x7 cm,2023-01-14
7x17x5 cm,2023-02-23
17x20x17 cm,2023-02-27
7x18x11 cm,2023-01-08
8x6x17 cm,2023-01-04
13x10x5 cm,2023-01-29
17x10x19 cm,2023-01-25
13x20x15 cm,2023-01-21
16x13x10 cm,2023-01-18
19x8x5 cm,2023-02-20
15x18x19 cm,2023-03-14
18x16x16 cm,2023-01-19
19x17x9 cm,2023-01-19
14x7x5 cm,2023-02-05
13x8x20 cm,2023-02-02
5x8x11 cm,2023-02-06
18x18x20 cm,2023-02-02
8x18x7 cm,2023-02-03
14x13x17 cm,2023-01-25
18x7x5 cm,2023-01-02
12x14x12 cm,2023-01-10
8x17x13 cm,2023-02-26
16x14x7 cm,2023-02-18
8x19x12 cm,2023-01-11
20x9x20 cm,2023-02-20
10x19x20 cm,2023-01-13
12x16x9 cm,2023-02-04
9x10x9 cm,2023-01-31
10x10x19 cm,2023-02-07
15x9x6 cm,2023-03-13
5x8x6 cm,2023-03-04
15x20x8 cm,2023-03-13
18x15x17 cm,2023-01-11
17x8x5 cm,2023-03-03
16x9x15 cm,2023-01-13
6x17x13 cm,2023-02-27
12x5x8 cm,2023-01-16
7x7x18 cm,2023-01-01
9x19x13 cm,2023-02-15
18x14x6 cm,2023-02-05
19x13x16 cm,2023-02-15
7x14x20 cm,2023-02-22
11x12x12 cm,2023-02-20
6x20x20 cm,2023-01-08
16x15x5 cm,2023-02-21
17x16x19 cm,2023-01-23
14x16x11 cm,2023-03-12
16x20x10 cm,2023-01-05
12x14x16 cm,2023-02-02
16x17x16 cm,2023-01-21
16x10x7 cm,2023-01-31
8x18x15 cm,2023-01-25
19x11x16 cm,2023-02-20
5x6x5 cm,2023-02-23
14x17x8 cm,2023-03-05
17x11x13 cm,2023-03-10
9x5x16 cm,2023-02-07
14x13x13 cm,2023-01-06
14x16x11 cm,2023-02-21
9x11x9 cm,2023-01-24
19x17x12 cm,2023-02-15
10x5x8 cm,2023-03-10
7x12x14 cm,2023-02-26
8x12x17 cm,2023-01-30
5x6x18 cm,2023-01-06
11x20x7 cm,2023-02-15
5x6x13 cm,2023-02-11
7x11x12 cm,2023-01-20
15x20x10 cm,2023-01-14
11x6x12 cm,2023-02-20
16x9x9 cm,2023-01-10
15x13x13 cm,2023-02-06
14x12x17 cm,2023-02-10
12x5x5 cm,2023-01-10
10x11x14 cm,2023-02-06
9x18x14 cm,2023-01-11
13x18x7 cm,2023-02-26
20x14x12 cm,2023-01-26
8x14x12 cm,2023-01-15
16x13x9 cm,2023-01-08
17x8x20 cm,2023-03-01
10x17x19 cm,2023-03-09
9x20x5 cm,2023-01-31
16x11x14 cm,2023-01-06
11x10x16 cm,2023-01-15
9x19x15 cm,2023-01-30
7x10x20 cm,2023-01-05
16x7x15 cm,2023-01-07
5x6x18 cm,2023-03-01
20x16x8 cm,2023-01-01
11x16x13 cm,2023-03-01
12x20x20 cm,2023-01-07
12x15x17 cm,2023-02-08
10x13x8 cm,2023-01-11
18x8x6 cm,2023-02-22
7x13x10 cm,2023-02-03
20x16x20 cm,2023-01-12
9x16x13 cm,2023-02-27
13x19x8 cm,2023-01-19
19x16x12 cm,2023-03-12
13x15x10 cm,2023-02-04
9x20x7 cm,2023-02-16
8x8x5 cm,2023-03-10
14x9x11 cm,2023-02-17
20x10x8 cm,2023-01-10
15x7x15 cm,2023-02-27
9x19x14 cm,2023-01-05
20x16x16 cm,2023-01-05
17x7x11 cm,2023-02-21
11x5x6 cm,2023-02-17
7x6x15 cm,2023-01-20
11x12x7 cm,2023-01-23
10x16x13 cm,2023-01-05
5x11x8 cm,2023-03-10
9x8x6 cm,2023-02-10
10x11x5 cm,2023-02-08
8x6x9 cm,2023-01-21
13x13x12 cm,2023-02-23
6x16x14 cm,2023-01-27
20x17x14 cm,2023-03-13
13x10x8 cm,2023-01-20
10x7x16 cm,2023-03-10
15x16x8 cm,2023-01-26
9x15x20 cm,2023-02-28
7x10x5 cm,2023-03-13
16x14x16 cm,2023-03-09
12x18x17 cm,2023-02-16
10x16x11 cm,2023-01-03
18x5x11 cm,2023-02-04
16x11x16 cm,2023-01-22
18x5x19 cm,2023-01-03
15x16x19 cm,2023-01-22
18x15x7 cm,2023-03-12
11x8x20 cm,2023-03-12
7x7x11 cm,2023-02-07
5x19x14 cm,2023-02-14
12x18x13 cm,2023-01-07
8x20x6 cm,2023-02-10
5x7x14 cm,2023-03-12
19x7x7 cm,2023-03-02
13x11x18 cm,2023-02-02
16x6x5 cm,2023-01-28
7x11x17 cm,2023-02-08
10x12x19 cm,2023-02-12
12x16x12 cm,2023-01-02
7x18x5 cm,2023-01-11
14x17x20 cm,2023-03-11
11x11x17 cm,2023-03-11
16x7x13 cm,2023-01-14
17x5x20 cm,2023-03-10
8x17x6 cm,2023-02-04
10x5x7 cm,2023-02-04
8x14x8 cm,2023-01-13
11x5x11 cm,2023-02-03
11x19x13 cm,2023-02-10
10x6x13 cm,2023-02-27
14x15x7 cm,2023-02-08
8x6x18 cm,2023-02-17
11x16x19 cm,2023-02-23
15x11x20 cm,2023-01-15
20x15x15 cm,2023-01-17
16x15x8 cm,2023-01-13
10x14x19 cm,2023-01-16
15x16x16 cm,2023-02-12
16x6x10 cm,2023-01-19
6x13x12 cm,2023-01-31
18x18x20 cm,2023-02-23
18x15x5 cm,2023-01-07
9x14x15 cm,2023-02-01
19x8x9 cm,2023-02-21
5x12x10 cm,2023-03-04
18x10x9 cm,2023-02-09
16x7x15 cm,2023-02-09
17x8x5 cm,2023-01-10
9x14x20 cm,2023-02-02
18x6x15 cm,2023-02-26
7x20x13 cm,2023-01-20
15x17x11 cm,2023-02-04
6x10x15 cm,2023-01-21
13x15x16 cm,2023-03-03
9x12x9 cm,2023-01-18
10x13x18 cm,2023-01-10
7x20x12 cm,2023-02-18
9x8x17 cm,2023-02-08
12x5x16 cm,2023-02-06
5x15x18 cm,2023-02-18
20x11x8 cm,2023-01-23
15x9x12 cm,2023-01-19
13x11x13 cm,2023-02-10
5x15x8 cm,2023-03-01
20x17x6 cm,2023-03-01
13x18x15 cm,2023-01-08
15x6x8 cm,2023-01-24
19x8x18 cm,2023-02-05
12x20x18 cm,2023-02-05
7x18x14 cm,2023-02-06
5x20x16 cm,2023-01-01
20x8x15 cm,2023-01-04
16x9x14 cm,2023-02-12
8x14x12 cm,2023-02-13
6x12x19 cm,2023-02-24
9x13x17 cm,2023-02-23
9x8x10 cm,2023-02-18
5x19x19 cm,2023-03-13
5x19x17 cm,2023-02-28
10x7x10 cm,2023-01-19
16x17x7 cm,2023-02-22
11x12x8 cm,2023-02-16
15x16x12 cm,2023-02-21
10x7x13 cm,2023-01-20
20x14x6 cm,2023-01-02
17x14x10 cm,2023-03-10
17x15x14 cm,2023-02-22
11x9x16 cm,2023-03-03
9x19x13 cm,2023-02-12
17x18x13 cm,2023-03-05
17x15x18 cm,2023-03-09
14x5x11 cm,2023-02-28
20x19x9 cm,2023-01-30
8x17x5 cm,2023-02-21
13x8x9 cm,2023-02-19
6x9x18 cm,2023-03-08
13x16x14 cm,2023-01-28
7x5x13 cm,2023-02-25
18x6x17 cm,2023-01-29
16x12x7 cm,2023-03-12
16x5x16 cm,2023-02-28
20x10x19 cm,2023-02-21
20x16x8 cm,2023-02-23
10x17x16 cm,2023-01-29
20x15x9 cm,2023-02-02
11x13x7 cm,2023-02-06
7x20x20 cm,2023-01-10
10x13x6 cm,2023-02-02
7x13x12 cm,2023-01-11
8x13x7 cm,2023-02-24
6x9x20 cm,2023-03-04
20x7x16 cm,2023-01-25
16x11x20 cm,2023-01-19
8x12x6 cm,2023-02-20
13x16x10 cm,2023-02-25
9x19x6 cm,2023-02-22
6x10x19 cm,2023-03-04
7x7x15 cm,2023-01-09
19x20x14 cm,2023-01-12
8x5x5 cm,2023-01-27
7x13x17 cm,2023-03-05
15x19x17 cm,2023-01-30
15x6x20 cm,2023-02-11
12x6x20 cm,2023-01-09
15x9x9 cm,2023-01-04
15x17x17 cm,2023-01-31
12x9x13 cm,2023-03-05
18x10x11 cm,2023-01-19
12x8x17 cm,2023-02-17
13x14x20 cm,2023-03-12
16x12x14 cm,2023-01-02
13x18x19 cm,2023-02-04
19x10x15 cm,2023-03-05
10x13x17 cm,2023-02-14
12x19x18 cm,2023-01-15
16x13x12 cm,2023-03-09
8x13x6 cm,2023-01-06
6x9x19 cm,2023-01-23
12x16x13 cm,2023-01-01
17x9x15 cm,2023-02-22
14x7x19 cm,2023-02-08
5x10x16 cm,2023-01-16
18x14x20 cm,2023-01-18
15x6x14 cm,2023-02-12
20x16x7 cm,2023-02-06
7x7x20 cm,2023-01-28
6x14x12 cm,2023-02-28
15x5x20 cm,2023-01-18
14x10x20 cm,2023-01-11
13x7x17 cm,2023-02-24
14x17x18 cm,2023-03-13
9x12x20 cm,2023-02-23
8x12x20 cm,2023-01-15
19x14x8 cm,2023-03-12
14x15x11 cm,2023-03-01
8x19x12 cm,2023-03-09
12x14x10 cm,2023-03-07
19x20x17 cm,2023-01-02
14x12x15 cm,2023-03-06
12x14x9 cm,2023-02-07
18x8x18 cm,2023-02-16
20x10x6 cm,2023-02-08
6x7x19 cm,2023-02-14
20x16x20 cm,2023-01-13
14x10x14 cm,2023-01-06
16x7x8 cm,2023-02-14
14x20x17 cm,2023-01-16
10x5x15 cm,2023-01-31
20x16x19 cm,2023-03-13
8x12x5 cm,2023-03-01
14x12x20 cm,2023-03-03
14x9x15 cm,2023-01-15
12x14x5 cm,2023-02-01
13x7x15 cm,2023-01-21
10x7x19 cm,2023-02-26
18x6x6 cm,2023-01-26
13x13x9 cm,2023-02-16
19x7x20 cm,2023-02-01
11x20x18 cm,2023-01-29
14x15x20 cm,2023-02-12
9x16x17 cm,2023-01-01
8x8x14 cm,2023-02-13
8x8x6 cm,2023-03-14
18x17x12 cm,2023-01-05
13x18x8 cm,2023-01-10
8x19x12 cm,2023-02-27
16x12x7 cm,2023-01-25
5x19x9 cm,2023-01-12
16x9x16 cm,2023-02-04
18x16x13 cm,2023-01-22
8x7x19 cm,2023-03-03
6x8x14 cm,2023-02-17
9x16x9 cm,2023-02-05
9x7x14 cm,2023-01-31
20x7x13 cm,2023-01-11
20x6x11 cm,2023-01-15
18x13x12 cm,2023-02-12
8x20x11 cm,2023-01-11
19x9x17 cm,2023-02-19
13x15x17 cm,2023-02-14
20x7x17 cm,2023-03-08
9x18x15 cm,2023-03-08
14x17x19 cm,2023-03-01
10x13x5 cm,2023-02-02
6x17x14 cm,2023-01-26
20x16x17 cm,2023-03-04
11x19x16 cm,2023-01-01
6x10x17 cm,2023-02-13
10x16x12 cm,2023-02-24
11x5x15 cm,2023-01-01
14x16x14 cm,2023-01-08
5x14x7 cm,2023-01-04
14x12x11 cm,2023-03-14
14x16x9 cm,2023-01-04
16x15x18 cm,2023-02-04
16x5x17 cm,2023-01-03
18x14x15 cm,2023-03-11
19x11x10 cm,2023-03-05
7x19x11 cm,2023-01-04
16x11x13 cm,2023-02-01
6x16x16 cm,2023-02-02
14x12x20 cm,2023-02-14
17x18x19 cm,2023-03-07
11x6x17 cm,2023-01-11
20x15x10 cm,2023-01-27
19x17x7 cm,2023-01-31
6x19x9 cm,2023-03-05
15x17x16 cm,2023-02-19
13x5x12 cm,2023-01-31
19x13x11 cm,2023-02-13
5x13x20 cm,2023-01-07
13x5x6 cm,2023-02-10
6x20x10 cm,2023-03-11
19x18x8 cm,2023-01-29
5x19x18 cm,2023-01-09
11x9x11 cm,2023-02-24
11x6x15 cm,2023-01-09
16x11x14 cm,2023-03-12
9x9x12 cm,2023-01-29
5x20x10 cm,2023-02-06
14x11x7 cm,2023-01-07
15x14x12 cm,2023-02-28
8x16x11 cm,2023-01-10
9x9x17 cm,2023-03-05
