price,stock_xfer_date
87.38,2023-01-29
494.24,2023-03-11
72.51,2023-02-18
15.93,2023-02-11
296.67,2023-01-07
161.15,2023-01-12
185.98,2023-02-25
15.47,2023-03-14
146.39,2023-01-19
139.29,2023-03-02
66.27,2023-01-10
69.89,2023-02-10
465.73,2023-01-16
299.47,2023-02-08
305.84,2023-03-12
118.5,2023-02-04
292.89,2023-01-09
473.08,2023-02-27
70.58,2023-01-01
495.7,2023-02-19
499.27,2023-03-08
387.44,2023-01-17
361.2,2023-02-26
437.55,2023-02-07
460.65,2023-01-28
315.06,2023-02-12
427.99,2023-03-11
382.23,2023-02-28
82.02,2023-03-05
214.45,2023-01-24
415.38,2023-01-21
382.45,2023-03-09
119.14,2023-02-14
197.23,2023-02-11
352.93,2023-02-04
372.87,2023-02-11
433.4,2023-01-18
266.13,2023-01-11
480.97,2023-03-05
38.34,2023-02-28
428.67,2023-03-14
208.85,2023-02-22
197.67,2023-01-28
128.28,2023-02-15
346.84,2023-02-08
219.32,2023-03-14
214.85,2023-02-28
320.27,2023-02-25
23.9,2023-03-05
293.57,2023-03-02
41.57,2023-02-09
183.6,2023-01-11
386.57,2023-02-15
37.76,2023-01-30
294.02,2023-03-10
269.78,2023-01-07
236.91,2023-01-13
94.51,2023-02-10
395.42,2023-02-08
466.02,2023-01-27
348.49,2023-01-24
222.52,2023-03-04
289.96,2023-02-09
487.21,2023-03-11
320.87,2023-01-03
71.7,2023-03-13
118.51,2023-02-20
448.41,2023-02-28
81.48,2023-02-04
87.88,2023-01-07
146.6,2023-01-13
182.43,2023-01-25
359.04,2023-01-26
444.53,2023-02-11
487.73,2023-02-28
115.49,2023-01-08
249.22,2023-01-10
354.2,2023-03-05
494.4,2023-01-26
411.26,2023-02-25
112.97,2023-02-23
458.35,2023-02-03
428.46,2023-01-05
285.71,2023-03-12
19.43,2023-02-25
225.85,2023-01-09
329.94,2023-02-14
341,2023-01-28
133.67,2023-03-04
360.21,2023-02-16
329.86,2023-01-07
311.02,2023-03-01
38.43,2023-03-08
282.26,2023-02-01
207.25,2023-01-19
174.27,2023-01-24
456.85,2023-02-17
456.34,2023-01-22
45.56,2023-01-09
459.94,2023-01-14
298.11,2023-02-23
183.88,2023-02-27
235.15,2023-01-08
428.52,2023-01-04
223.87,2023-01-29
179.33,2023-01-25
328.15,2023-01-21
16.08,2023-01-18
143.96,2023-02-20
443.87,2023-03-14
282.21,2023-01-19
237.65,2023-01-19
317.07,2023-02-05
305.28,2023-02-02
450.14,2023-02-06
311.87,2023-02-02
478.05,2023-02-03
236,2023-01-25
229.86,2023-01-02
352.21,2023-01-10
249.12,2023-02-26
420.23,2023-02-18
220.4,2023-01-11
281.19,2023-02-20
354.32,2023-01-13
137.11,2023-02-04
12.68,2023-01-31
60.06,2023-02-07
72.72,2023-03-13
277.35,2023-03-04
143.26,2023-03-13
170.35,2023-01-11
80,2023-03-03
196.74,2023-01-13
89.91,2023-02-27
192.32,2023-01-16
99.62,2023-01-01
357.66,2023-02-15
213.9,2023-02-05
421.68,2023-02-15
295.17,2023-02-22
37.06,2023-02-20
384.4,2023-01-08
114.67,2023-02-21
304.07,2023-01-23
218.71,2023-03-12
459.72,2023-01-05
434.76,2023-02-02
222.2,2023-01-21
404.35,2023-01-31
338.56,2023-01-25
399.77,2023-02-20
124.8,2023-02-23
465.64,2023-03-05
140.94,2023-03-10
326.49,2023-02-07
356.13,2023-01-06
137.17,2023-02-21
483.44,2023-01-24
297.26,2023-02-15
334.62,2023-03-10
14.4,2023-02-26
362.38,2023-01-30
270.29,2023-01-06
395.72,2023-02-15
494.2,2023-02-11
207.04,2023-01-20
497.57,2023-01-14
369.27,2023-02-20
341.52,2023-01-10
303.84,2023-02-06
230.63,2023-02-10
18.15,2023-01-10
467.64,2023-02-06
281.18,2023-01-11
371.41,2023-02-26
37.09,2023-01-26
248.12,2023-01-15
336.72,2023-01-08
77.98,2023-03-01
165.37,2023-03-09
50.46,2023-01-31
214.23,2023-01-06
95.51,2023-01-15
272.59,2023-01-30
425.09,2023-01-05
287,2023-01-07
413.75,2023-03-01
106.12,2023-01-01
206.88,2023-03-01
435.36,2023-01-07
224.38,2023-02-08
86.57,2023-01-11
185.68,2023-02-22
114.84,2023-02-03
43.24,2023-01-12
435.44,2023-02-27
101.55,2023-01-19
51.01,2023-03-12
80.43,2023-02-04
198.7,2023-02-16
278.38,2023-03-10
472.82,2023-02-17
233.91,2023-01-10
410.68,2023-02-27
399.02,2023-01-05
190.47,2023-01-05
407.6,2023-02-21
259.59,2023-02-17
11.81,2023-01-20
499.15,2023-01-23
218.44,2023-01-05
125.1,2023-03-10
267.99,2023-02-10
58.73,2023-02-08
416.36,2023-01-21
396.24,2023-02-23
480.24,2023-01-27
449.14,2023-03-13
122.9,2023-01-20
328.88,2023-03-10
159.6,2023-01-26
299.17,2023-02-28
320.87,2023-03-13
57.23,2023-03-09
142.02,2023-02-16
47.18,2023-01-03
189.43,2023-02-04
40.53,2023-01-22
476.09,2023-01-03
395.26,2023-01-22
82.5,2023-03-12
247.2,2023-03-12
482.98,2023-02-07
230.48,2023-02-14
252.25,2023-01-07
468.91,2023-02-10
432.57,2023-03-12
54.66,2023-03-02
493.67,2023-02-02
92.99,2023-01-28
206.28,2023-02-08
32.88,2023-02-12
222.46,2023-01-02
159.66,2023-01-11
151.47,2023-03-11
447.75,2023-03-11
297.25,2023-01-14
222.25,2023-03-10
412.85,2023-02-04
351.25,2023-02-04
258.76,2023-01-13
310.43,2023-02-03
186.83,2023-02-10
13.61,2023-02-27
366.63,2023-02-08
88.1,2023-02-17
427.38,2023-02-23
382.93,2023-01-15
317.59,2023-01-17
93.52,2023-01-13
49.23,2023-01-16
372.01,2023-02-12
155.7,2023-01-19
157.23,2023-01-31
124.59,2023-02-23
118.96,2023-01-07
20.24,2023-02-01
437.33,2023-02-21
367.12,2023-03-04
411.52,2023-02-09
476.55,2023-02-09
344.11,2023-01-10
416.83,2023-02-02
132.44,2023-02-26
146.96,2023-01-20
66.02,2023-02-04
219.87,2023-01-21
349.66,2023-03-03
472.64,2023-01-18
130.36,2023-01-10
391.68,2023-02-18
210.99,2023-02-08
409.16,2023-02-06
256.43,2023-02-18
131.94,2023-01-23
305.27,2023-01-19
255.35,2023-02-10
446.77,2023-03-01
207.27,2023-03-01
89.06,2023-01-08
218.8,2023-01-24
153.46,2023-02-05
31.59,2023-02-05
460.77,2023-02-06
280.14,2023-01-01
280.86,2023-01-04
128.22,2023-02-12
244.55,2023-02-13
53.91,2023-02-24
124.61,2023-02-23
23.96,2023-02-18
230.35,2023-03-13
366.62,2023-02-28
211.71,2023-01-19
311.37,2023-02-22
387.91,2023-02-16
345.95,2023-02-21
224.97,2023-01-20
321.42,2023-01-02
355.91,2023-03-10
31.31,2023-02-22
375.81,2023-03-03
185.63,2023-02-12
379.7,2023-03-05
105.35,2023-03-09
220.5,2023-02-28
72.3,2023-01-30
428.52,2023-02-21
354.55,2023-02-19
93.58,2023-03-08
103.33,2023-01-28
347.5,2023-02-25
288.21,2023-01-29
44.52,2023-03-12
425.94,2023-02-28
56.21,2023-02-21
419.37,2023-02-23
245.82,2023-01-29
466.5,2023-02-02
129.39,2023-02-06
187.46,2023-01-10
62.87,2023-02-02
29.52,2023-01-11
55.9,2023-02-24
421.8,2023-03-04
341.22,2023-01-25
354.25,2023-01-19
249.15,2023-02-20
469.19,2023-02-25
132.13,2023-02-22
223.4,2023-03-04
262.41,2023-01-09
469.89,2023-01-12
401.01,2023-01-27
143.14,2023-03-05
66.2,2023-01-30
97.26,2023-02-11
182.27,2023-01-09
211.85,2023-01-04
380.76,2023-01-31
393.08,2023-03-05
339.41,2023-01-19
123.24,2023-02-17
112.33,2023-03-12
90,2023-01-02
385.98,2023-02-04
103.77,2023-03-05
266.18,2023-02-14
233.68,2023-01-15
270.45,2023-03-09
138.89,2023-01-06
155.8,2023-01-23
407.57,2023-01-01
294.84,2023-02-22
284.3,2023-02-08
291.34,2023-01-16
423.72,2023-01-18
470.06,2023-02-12
258.82,2023-02-06
454.51,2023-01-28
446.57,2023-02-28
187.48,2023-01-18
174.62,2023-01-11
303.25,2023-02-24
191.8,2023-03-13
233.9,2023-02-23
63.1,2023-01-15
279.83,2023-03-12
209.24,2023-03-01
40.53,2023-03-09
363.72,2023-03-07
322.82,2023-01-02
345.16,2023-03-06
428.48,2023-02-07
301.09,2023-02-16
240.46,2023-02-08
123.98,2023-02-14
10.38,2023-01-13
456.14,2023-01-06
371.14,2023-02-14
61.19,2023-01-16
55.53,2023-01-31
461.34,2023-03-13
336.61,2023-03-01
407.98,2023-03-03
155.88,2023-01-15
62.58,2023-02-01
29.66,2023-01-21
397.82,2023-02-26
283.36,2023-01-26
111.79,2023-02-16
438.59,2023-02-01
185.05,2023-01-29
189.67,2023-02-12
28.53,2023-01-01
263.51,2023-02-13
87.73,2023-03-14
485.59,2023-01-05
311.05,2023-01-10
231.66,2023-02-27
368.34,2023-01-25
93.8,2023-01-12
156.62,2023-02-04
414.67,2023-01-22
342.75,2023-03-03
99.04,2023-02-17
111.51,2023-02-05
224.8,2023-01-31
338.37,2023-01-11
271.46,2023-01-15
252.31,2023-02-12
288.54,2023-01-11
385.91,2023-02-19
156.76,2023-02-14
274.46,2023-03-08
46.92,2023-03-08
159.49,2023-03-01
387.03,2023-02-02
66.66,2023-01-26
452.23,2023-03-04
442.05,2023-01-01
248.91,2023-02-13
93.76,2023-02-24
71.76,2023-01-01
195.89,2023-01-08
27.12,2023-01-04
97.59,2023-03-14
348.16,2023-01-04
340.36,2023-02-04
116.63,2023-01-03
44.13,2023-03-11
146.56,2023-03-05
129.81,2023-01-04
129.44,2023-02-01
185.6,2023-02-02
274.8,2023-02-14
113.69,2023-03-07
372.02,2023-01-11
470.51,2023-01-27
39.87,2023-01-31
169.3,2023-03-05
162.62,2023-02-19
310.27,2023-01-31
28.44,2023-02-13
482.68,2023-01-07
321.32,2023-02-10
27.86,2023-03-11
343.78,2023-01-29
81.74,2023-01-09
51.13,2023-02-24
455.96,2023-01-09
442.43,2023-03-12
96.52,2023-01-29
483.93,2023-02-06
69.91,2023-01-07
65.16,2023-02-28
473.21,2023-01-10
462.96,2023-03-05
262.16,2023-02-07
28.54,2023-02-14
165.99,2023-01-10
488.92,2023-02-15
121.36,2023-03-07
497.92,2023-01-12
384.03,2023-02-06
340.11,2023-01-11
294.37,2023-03-01
431.41,2023-01-03
51.07,2023-01-15
322.19,2023-01-23
177.21,2023-01-09
61.58,2023-03-11
158.87,2023-01-24
159.28,2023-01-14
149.88,2023-02-14
234.57,2023-03-10
95.26,2023-01-06
221.33,2023-02-10
314.35,2023-03-04
427.17,2023-02-18
207.77,2023-01-05
284.59,2023-01-19
346.53,2023-01-07
193,2023-01-18
214.8,2023-01-12
184.78,2023-02-08
42.67,2023-02-18
425.66,2023-01-08
31.66,2023-03-01
56.97,2023-02-13
429.19,2023-02-12
445.47,2023-03-07
454.32,2023-02-09
113.27,2023-03-10
26.2,2023-02-10
21.63,2023-01-21
280.29,2023-03-06
252.71,2023-01-16
466.58,2023-03-09
401.69,2023-03-07
474.73,2023-01-30
267.33,2023-01-10
260.77,2023-01-01
437.97,2023-02-03
83.2,2023-01-28
310.2,2023-01-09
283.77,2023-01-06
398.98,2023-01-15
62.05,2023-01-30
161.48,2023-01-12
134.83,2023-02-22
162.06,2023-03-04
61.59,2023-03-05
448.04,2023-01-14
370.03,2023-02-15
33.69,2023-03-08
469.64,2023-03-08
407.31,2023-01-25
267.14,2023-01-11
236.01,2023-01-29
39.58,2023-01-30
322.9,2023-01-23
236.98,2023-01-25
383.21,2023-02-25
192.15,2023-01-26
217.52,2023-01-01
465.37,2023-01-19
160.76,2023-02-01
211.54,2023-03-03
80.06,2023-02-05
21.73,2023-01-06
438.01,2023-02-27
394.38,2023-03-11
342.12,2023-01-29
114.42,2023-01-25
75.16,2023-01-14
310.93,2023-01-29
350.02,2023-01-09
450.33,2023-03-08
74.42,2023-02-27
316.33,2023-02-21
360.41,2023-01-29
198.91,2023-01-06
341.91,2023-03-13
366.69,2023-02-04
239.67,2023-01-05
412.75,2023-02-19
70.96,2023-02-04
345.03,2023-03-14
379.61,2023-01-01
271.93,2023-02-01
407.41,2023-02-18
408.68,2023-03-07
493.73,2023-02-24
90.93,2023-03-14
346.93,2023-02-18
405.54,2023-02-22
424.69,2023-03-12
290.02,2023-01-25
464.3,2023-02-26
346.18,2023-02-02
380.94,2023-03-12
468.88,2023-01-09
334.75,2023-03-02
256.03,2023-01-14
144.88,2023-02-27
456.18,2023-01-30
286.1,2023-02-21
58.12,2023-03-09
260.3,2023-03-10
90.53,2023-01-14
400.25,2023-02-06
189.05,2023-03-08
23.91,2023-02-15
381.64,2023-02-04
387.77,2023-01-29
349.34,2023-01-03
351.78,2023-01-09
330.38,2023-01-31
34.21,2023-01-18
475.39,2023-02-17
389.79,2023-01-14
377.13,2023-01-25
210.94,2023-03-01
420.42,2023-01-03
370.43,2023-01-26
430.93,2023-01-26
325.55,2023-02-11
312.66,2023-02-07
246.46,2023-03-05
98.43,2023-01-09
330.42,2023-01-18
419.55,2023-01-18
58.41,2023-01-30
453.08,2023-02-26
263.88,2023-02-07
303.32,2023-02-15
42.01,2023-02-16
498.46,2023-02-13
462.35,2023-02-02
351.65,2023-02-28
293.33,2023-01-11
67.55,2023-02-16
43.91,2023-02-16
367.73,2023-01-22
252.2,2023-01-11
159.79,2023-02-28
495.49,2023-01-24
381.74,2023-01-21
64.98,2023-02-08
128.51,2023-02-21
312.19,2023-01-09
284.52,2023-01-19
365.72,2023-02-23
67.31,2023-01-28
171.17,2023-01-20
117.41,2023-02-24
308.88,2023-01-17
263.49,2023-01-25
391.16,2023-03-05
29.5,2023-02-26
50.41,2023-01-18
335.38,2023-01-16
419.92,2023-01-22
358.58,2023-02-05
443.61,2023-01-29
96.48,2023-02-22
27.39,2023-02-19
468.89,2023-03-11
71.02,2023-01-17
21.66,2023-02-13
338.91,2023-03-11
386.89,2023-02-15
51.66,2023-01-15
369.1,2023-01-09
175.95,2023-03-07
267.44,2023-02-22
404.92,2023-01-12
161.3,2023-01-24
358.23,2023-01-19
79.02,2023-03-01
29.52,2023-03-11
21.77,2023-02-06
335.81,2023-02-05
302.97,2023-02-14
101.65,2023-03-02
91.34,2023-01-23
187.34,2023-02-15
444.75,2023-02-19
426.66,2023-02-22
69.27,2023-02-04
452.93,2023-01-09
204.15,2023-03-01
459.64,2023-01-12
280.3,2023-02-18
116.65,2023-01-17
281.61,2023-01-13
60.5,2023-01-10
391.5,2023-01-21
445.7,2023-02-06
427.81,2023-03-05
336.83,2023-01-16
427.5,2023-02-19
369.65,2023-02-19
308.97,2023-01-19
296.7,2023-02-12
227.49,2023-03-06
337.7,2023-01-19
273.05,2023-01-31
479.84,2023-03-04
392.49,2023-02-11
281.89,2023-01-08
28.9,2023-02-07
353.73,2023-01-27
188.62,2023-01-19
218.79,2023-01-22
392.38,2023-02-19
332.33,2023-01-18
337.15,2023-02-01
481.01,2023-02-03
84.64,2023-03-06
144.62,2023-01-15
213.87,2023-02-03
174.32,2023-03-14
312.36,2023-01-14
483.24,2023-01-14
494.14,2023-03-09
226.72,2023-01-25
107.81,2023-02-12
10.77,2023-01-09
28.89,2023-03-02
75.01,2023-02-04
74.24,2023-02-24
196.18,2023-01-15
51.22,2023-02-24
14.57,2023-03-04
218.18,2023-02-18
330.8,2023-02-16
239.33,2023-01-27
337.53,2023-03-08
71.12,2023-02-17
349.4,2023-01-28
22.84,2023-03-01
167.01,2023-02-10
206.86,2023-01-04
267.56,2023-01-06
471.29,2023-02-12
243.89,2023-01-17
243.09,2023-02-14
103.74,2023-02-19
427.46,2023-01-09
126.07,2023-01-16
231.13,2023-02-24
357.31,2023-02-18
179.54,2023-02-01
391.42,2023-02-25
429.98,2023-03-14
349.81,2023-01-18
282.5,2023-01-22
259.86,2023-01-27
374.19,2023-03-03
89.35,2023-02-12
84.64,2023-02-10
231.57,2023-01-19
439.53,2023-01-25
141.65,2023-01-04
379.89,2023-02-11
93.15,2023-02-12
174.42,2023-01-23
463.25,2023-01-31
157.28,2023-01-29
52.07,2023-02-01
466.62,2023-01-06
363.83,2023-01-01
44.75,2023-01-09
415.05,2023-01-12
49.47,2023-01-15
471.31,2023-01-18
277.79,2023-03-08
327.54,2023-01-10
407.05,2023-01-22
25.65,2023-03-10
198.8,2023-02-08
159.26,2023-03-12
434.87,2023-03-01
116.67,2023-02-27
335.59,2023-02-09
292.69,2023-02-18
141.03,2023-01-22
473.09,2023-02-21
339.61,2023-02-10
294.67,2023-02-19
172.28,2023-01-09
362.7,2023-02-11
358.94,2023-01-12
202.53,2023-02-19
186.18,2023-02-27
98.64,2023-01-04
287.4,2023-02-18
246.47,2023-02-26
81.1,2023-02-23
474.71,2023-02-02
349.04,2023-02-12
256.77,2023-02-03
412.51,2023-03-07
498.19,2023-02-02
310.23,2023-03-12
330.67,2023-02-27
100.77,2023-03-09
140.23,2023-02-10
357.85,2023-02-05
417.18,2023-01-03
367.11,2023-02-21
367.96,2023-03-09
385.26,2023-02-14
415.9,2023-02-23
382.28,2023-02-04
212.67,2023-02-03
204.22,2023-01-19
117.06,2023-01-05
211.24,2023-03-04
357.54,2023-03-07
357.95,2023-01-19
276.3,2023-03-11
18.32,2023-03-12
237.69,2023-01-30
293.22,2023-01-15
108.05,2023-02-17
42.09,2023-02-25
383.5,2023-02-26
476.96,2023-01-25
214.58,2023-03-03
130.88,2023-01-01
173.95,2023-02-08
451.48,2023-02-22
99.7,2023-02-10
21.45,2023-01-03
16.42,2023-01-08
27.71,2023-03-06
181.36,2023-01-14
11.29,2023-02-12
297.3,2023-02-05
193.09,2023-01-02
451.04,2023-01-04
275.64,2023-01-19
21.33,2023-02-16
384.47,2023-01-20
239.76,2023-03-05
229.65,2023-02-17
369.24,2023-03-03
160.15,2023-01-18
404.55,2023-01-07
297.35,2023-01-02
415.49,2023-03-13
257.7,2023-01-09
378.51,2023-02-10
272.3,2023-03-06
83.07,2023-03-04
351.53,2023-03-10
82.08,2023-02-11
31.16,2023-02-03
250.43,2023-02-22
200.94,2023-03-05
419.38,2023-01-16
21.02,2023-01-27
366.2,2023-01-30
330.89,2023-02-03
224.54,2023-03-08
315.93,2023-03-03
83.56,2023-03-13
26.12,2023-02-23
272.33,2023-01-20
48.2,2023-02-08
152.05,2023-02-21
367.51,2023-02-12
157.15,2023-02-03
13.04,2023-02-01
262.42,2023-02-17
147.82,2023-03-03
477.58,2023-03-08
450.55,2023-02-02
407.63,2023-01-17
188.47,2023-02-10
263.63,2023-02-15
341.97,2023-02-13
437.1,2023-03-06
372.62,2023-03-02
428.49,2023-01-29
60.1,2023-02-07
488.21,2023-01-09
319.56,2023-01-07
350.05,2023-01-13
415.69,2023-02-16
33.94,2023-03-02
336.6,2023-01-27
71.19,2023-01-25
402.99,2023-02-28
387.66,2023-01-11
