stock_xfer_date,stock_qty
2023-03-03,50
2023-01-15,5
2023-03-06,53
2023-03-03,19
2023-01-02,75
2023-01-10,75
2023-01-20,24
2023-01-24,39
2023-01-10,13
2023-01-02,49
2023-02-12,99
2023-02-24,9
2023-03-12,97
2023-01-28,31
2023-03-12,95
2023-02-08,46
2023-02-08,25
2023-03-13,90
2023-02-11,53
2023-01-08,15
2023-03-05,84
2023-02-22,37
2023-03-07,59
2023-02-21,59
2023-01-03,56
2023-02-21,2
2023-02-09,9
2023-02-11,69
2023-02-02,8
2023-02-17,93
2023-02-13,29
2023-02-23,29
2023-01-24,54
2023-02-28,4
2023-01-17,12
2023-01-16,38
2023-01-01,76
2023-02-02,84
2023-02-05,14
2023-03-03,30
2023-03-02,48
2023-01-21,52
2023-01-08,49
2023-01-23,98
2023-01-31,30
2023-02-24,72
2023-02-22,39
2023-02-13,2
2023-03-02,38
2023-02-22,9
2023-03-07,91
2023-01-23,19
2023-01-23,84
2023-01-31,35
2023-01-22,71
2023-02-02,4
2023-02-20,19
2023-01-07,57
2023-01-28,100
2023-03-14,42
2023-01-10,45
2023-03-04,2
2023-03-06,67
2023-01-26,82
2023-02-04,3
2023-03-04,17
2023-01-26,34
2023-01-05,63
2023-01-11,6
2023-01-16,50
2023-02-06,17
2023-02-10,42
2023-02-17,95
2023-02-26,39
2023-01-30,8
2023-02-17,31
2023-02-09,60
2023-01-14,12
2023-02-20,43
2023-01-28,8
2023-02-01,80
2023-01-16,43
2023-03-12,91
2023-01-09,91
2023-02-26,19
2023-03-10,45
2023-01-29,13
2023-01-22,93
2023-03-09,97
2023-02-28,89
2023-01-01,21
2023-01-16,47
2023-02-18,19
2023-01-14,90
2023-02-06,80
2023-01-14,37
2023-01-19,26
2023-02-11,24
2023-02-12,34
2023-01-19,64
2023-03-11,99
2023-01-28,82
2023-02-26,25
2023-02-04,51
2023-01-25,3
2023-02-20,3
2023-01-09,4
2023-01-26,93
2023-02-17,67
2023-01-01,12
2023-01-03,63
2023-01-22,78
2023-02-09,71
2023-01-17,58
2023-02-18,11
2023-03-14,17
2023-02-01,19
2023-02-18,34
2023-01-08,87
2023-01-30,87
2023-01-07,10
2023-01-12,54
2023-02-28,69
2023-03-14,90
2023-01-23,73
2023-03-08,18
2023-01-17,29
2023-02-28,45
2023-01-16,11
2023-02-27,55
2023-01-08,40
2023-01-29,60
2023-03-11,92
2023-02-18,86
2023-02-11,97
2023-01-07,100
2023-01-12,50
2023-02-25,82
2023-03-14,58
2023-01-19,49
2023-03-02,25
2023-01-10,30
2023-02-10,53
2023-01-16,37
2023-02-08,18
2023-03-12,72
2023-02-04,7
2023-01-09,5
2023-02-27,52
2023-01-01,31
2023-02-19,71
2023-03-08,6
2023-01-17,10
2023-02-26,29
2023-02-07,11
2023-01-28,30
2023-02-12,34
2023-03-11,82
2023-02-28,41
2023-03-05,9
2023-01-24,29
2023-01-21,62
2023-03-09,70
2023-02-14,33
2023-02-11,89
2023-02-04,32
2023-02-11,72
2023-01-18,43
2023-01-11,53
2023-03-05,61
2023-02-28,67
2023-03-14,53
2023-02-22,12
2023-01-28,57
2023-02-15,83
2023-02-08,24
2023-03-14,56
2023-02-28,31
2023-02-25,87
2023-03-05,73
2023-03-02,13
2023-02-09,35
2023-01-11,93
2023-02-15,36
2023-01-30,18
2023-03-10,82
2023-01-07,57
2023-01-13,22
2023-02-10,14
2023-02-08,81
2023-01-27,80
2023-01-24,49
2023-03-04,73
2023-02-09,67
2023-03-11,73
2023-01-03,9
2023-03-13,99
2023-02-20,58
2023-02-28,93
2023-02-04,62
2023-01-07,11
2023-01-13,61
2023-01-25,32
2023-01-26,77
2023-02-11,33
2023-02-28,86
2023-01-08,79
2023-01-10,14
2023-03-05,74
2023-01-26,78
2023-02-25,62
2023-02-23,63
2023-02-03,54
2023-01-05,7
2023-03-12,69
2023-02-25,29
2023-01-09,47
2023-02-14,23
2023-01-28,20
2023-03-04,27
2023-02-16,42
2023-01-07,79
2023-03-01,50
2023-03-08,72
2023-02-01,3
2023-01-19,85
2023-01-24,49
2023-02-17,25
2023-01-22,49
2023-01-09,60
2023-01-14,31
2023-02-23,80
2023-02-27,43
2023-01-08,62
2023-01-04,51
2023-01-29,11
2023-01-25,87
2023-01-21,84
2023-01-18,73
2023-02-20,75
2023-03-14,71
2023-01-19,93
2023-01-19,17
2023-02-05,56
2023-02-02,22
2023-02-06,81
2023-02-02,77
2023-02-03,67
2023-01-25,14
2023-01-02,17
2023-01-10,6
2023-02-26,2
2023-02-18,75
2023-01-11,51
2023-02-20,46
2023-01-13,78
2023-02-04,22
2023-01-31,66
2023-02-07,7
2023-03-13,43
2023-03-04,35
2023-03-13,7
2023-01-11,55
2023-03-03,37
2023-01-13,74
2023-02-27,39
2023-01-16,8
2023-01-01,29
2023-02-15,94
2023-02-05,99
2023-02-15,70
2023-02-22,82
2023-02-20,55
2023-01-08,100
2023-02-21,75
2023-01-23,85
2023-03-12,80
2023-01-05,22
2023-02-02,100
2023-01-21,48
2023-01-31,67
2023-01-25,64
2023-02-20,82
2023-02-23,74
2023-03-05,58
2023-03-10,40
2023-02-07,15
2023-01-06,56
2023-02-21,14
2023-01-24,24
2023-02-15,7
2023-03-10,80
2023-02-26,78
2023-01-30,100
2023-01-06,2
2023-02-15,15
2023-02-11,85
2023-01-20,75
2023-01-14,3
2023-02-20,41
2023-01-10,84
2023-02-06,49
2023-02-10,92
2023-01-10,24
2023-02-06,93
2023-01-11,75
2023-02-26,86
2023-01-26,7
2023-01-15,61
2023-01-08,32
2023-03-01,3
2023-03-09,81
2023-01-31,8
2023-01-06,9
2023-01-15,89
2023-01-30,33
2023-01-05,28
2023-01-07,48
2023-03-01,27
2023-01-01,18
2023-03-01,57
2023-01-07,99
2023-02-08,72
2023-01-11,66
2023-02-22,38
2023-02-03,56
2023-01-12,66
2023-02-27,80
2023-01-19,63
2023-03-12,75
2023-02-04,58
2023-02-16,73
2023-03-10,26
2023-02-17,71
2023-01-10,61
2023-02-27,87
2023-01-05,43
2023-01-05,32
2023-02-21,24
2023-02-17,23
2023-01-20,28
2023-01-23,53
2023-01-05,11
2023-03-10,88
2023-02-10,38
2023-02-08,47
2023-01-21,77
2023-02-23,2
2023-01-27,42
2023-03-13,16
2023-01-20,89
2023-03-10,12
2023-01-26,33
2023-02-28,78
2023-03-13,17
2023-03-09,83
2023-02-16,28
2023-01-03,90
2023-02-04,82
2023-01-22,6
2023-01-03,82
2023-01-22,51
2023-03-12,87
2023-03-12,26
2023-02-07,83
2023-02-14,86
2023-01-07,99
2023-02-10,13
2023-03-12,16
2023-03-02,67
2023-02-02,29
2023-01-28,39
2023-02-08,30
2023-02-12,82
2023-01-02,92
2023-01-11,62
2023-03-11,35
2023-03-11,43
2023-01-14,32
2023-03-10,63
2023-02-04,13
2023-02-04,83
2023-01-13,91
2023-02-03,1
2023-02-10,55
2023-02-27,11
2023-02-08,94
2023-02-17,31
2023-02-23,31
2023-01-15,40
2023-01-17,47
2023-01-13,84
2023-01-16,60
2023-02-12,97
2023-01-19,82
2023-01-31,4
2023-02-23,10
2023-01-07,5
2023-02-01,68
2023-02-21,61
2023-03-04,57
2023-02-09,42
2023-02-09,13
2023-01-10,85
2023-02-02,54
2023-02-26,47
2023-01-20,19
2023-02-04,97
2023-01-21,45
2023-03-03,12
2023-01-18,53
2023-01-10,94
2023-02-18,94
2023-02-08,21
2023-02-06,90
2023-02-18,88
2023-01-23,93
2023-01-19,87
2023-02-10,74
2023-03-01,69
2023-03-01,91
2023-01-08,14
2023-01-24,43
2023-02-05,68
2023-02-05,4
2023-02-06,36
2023-01-01,63
2023-01-04,19
2023-02-12,79
2023-02-13,85
2023-02-24,20
2023-02-23,61
2023-02-18,83
2023-03-13,26
2023-02-28,4
2023-01-19,38
2023-02-22,50
2023-02-16,93
2023-02-21,58
2023-01-20,66
2023-01-02,33
2023-03-10,77
2023-02-22,68
2023-03-03,7
2023-02-12,79
2023-03-05,32
2023-03-09,76
2023-02-28,68
2023-01-30,92
2023-02-21,61
2023-02-19,86
2023-03-08,35
2023-01-28,28
2023-02-25,85
2023-01-29,34
2023-03-12,30
2023-02-28,34
2023-02-21,20
2023-02-23,42
2023-01-29,66
2023-02-02,42
2023-02-06,97
2023-01-10,18
2023-02-02,60
2023-01-11,96
2023-02-24,87
2023-03-04,9
2023-01-25,24
2023-01-19,68
2023-02-20,60
2023-02-25,71
2023-02-22,53
2023-03-04,16
2023-01-09,16
2023-01-12,51
2023-01-27,29
2023-03-05,23
2023-01-30,22
2023-02-11,45
2023-01-09,47
2023-01-04,86
2023-01-31,77
2023-03-05,80
2023-01-19,29
2023-02-17,17
2023-03-12,34
2023-01-02,15
2023-02-04,18
2023-03-05,33
2023-02-14,13
2023-01-15,71
2023-03-09,85
2023-01-06,78
2023-01-23,45
2023-01-01,82
2023-02-22,80
2023-02-08,38
2023-01-16,60
2023-01-18,41
2023-02-12,17
2023-02-06,14
2023-01-28,100
2023-02-28,80
2023-01-18,29
2023-01-11,90
2023-02-24,84
2023-03-13,21
2023-02-23,47
2023-01-15,82
2023-03-12,52
2023-03-01,17
2023-03-09,25
2023-03-07,9
2023-01-02,98
2023-03-06,28
2023-02-07,85
2023-02-16,99
2023-02-08,77
2023-02-14,77
2023-01-13,99
2023-01-06,19
2023-02-14,9
2023-01-16,76
2023-01-31,72
2023-03-13,55
2023-03-01,90
2023-03-03,60
2023-01-15,66
2023-02-01,92
2023-01-21,69
2023-02-26,72
2023-01-26,100
2023-02-16,93
2023-02-01,66
2023-01-29,35
2023-02-12,38
2023-01-01,13
2023-02-13,13
2023-03-14,55
2023-01-05,75
2023-01-10,87
2023-02-27,50
2023-01-25,82
2023-01-12,78
2023-02-04,43
2023-01-22,75
2023-03-03,99
2023-02-17,85
2023-02-05,99
2023-01-31,38
2023-01-11,65
2023-01-15,54
2023-02-12,41
2023-01-11,90
2023-02-19,8
2023-02-14,43
2023-03-08,1
2023-03-08,3
2023-03-01,38
2023-02-02,23
2023-01-26,9
2023-03-04,5
2023-01-01,10
2023-02-13,81
2023-02-24,73
2023-01-01,49
2023-01-08,79
2023-01-04,30
2023-03-14,13
2023-01-04,75
2023-02-04,18
2023-01-03,45
2023-03-11,43
2023-03-05,3
2023-01-04,71
2023-02-01,94
2023-02-02,5
2023-02-14,69
2023-03-07,85
2023-01-11,82
2023-01-27,16
2023-01-31,39
2023-03-05,53
2023-02-19,50
2023-01-31,99
2023-02-13,94
2023-01-07,34
2023-02-10,2
2023-03-11,21
2023-01-29,54
2023-01-09,39
2023-02-24,55
2023-01-09,12
2023-03-12,8
2023-01-29,24
2023-02-06,22
2023-01-07,82
2023-02-28,57
2023-01-10,68
2023-03-05,24
2023-02-07,90
2023-02-14,23
2023-01-10,65
2023-02-15,81
2023-03-07,45
2023-01-12,42
2023-02-06,13
2023-01-11,70
2023-03-01,89
2023-01-03,55
2023-01-15,88
2023-01-23,91
2023-01-09,54
2023-03-11,100
2023-01-24,79
2023-01-14,91
2023-02-14,69
2023-03-10,67
2023-01-06,100
2023-02-10,51
2023-03-04,70
2023-02-18,65
2023-01-05,16
2023-01-19,13
2023-01-07,67
2023-01-18,30
2023-01-12,30
2023-02-08,8
2023-02-18,30
2023-01-08,81
2023-03-01,32
2023-02-13,48
2023-02-12,66
2023-03-07,54
2023-02-09,94
2023-03-10,81
2023-02-10,93
2023-01-21,20
2023-03-06,78
2023-01-16,70
2023-03-09,6
2023-03-07,86
2023-01-30,86
2023-01-10,98
2023-01-01,58
2023-02-03,31
2023-01-28,40
2023-01-09,39
2023-01-06,60
2023-01-15,16
2023-01-30,12
2023-01-12,19
2023-02-22,43
2023-03-04,51
2023-03-05,62
2023-01-14,68
2023-02-15,7
2023-03-08,76
2023-03-08,87
2023-01-25,61
2023-01-11,21
2023-01-29,8
2023-01-30,40
2023-01-23,31
2023-01-25,3
2023-02-25,57
2023-01-26,91
2023-01-01,39
2023-01-19,12
2023-02-01,81
2023-03-03,48
2023-02-05,18
2023-01-06,36
2023-02-27,98
2023-03-11,68
2023-01-29,10
2023-01-25,35
2023-01-14,94
2023-01-29,81
2023-01-09,68
2023-03-08,32
2023-02-27,77
2023-02-21,39
2023-01-29,75
2023-01-06,24
2023-03-13,87
2023-02-04,94
2023-01-05,80
2023-02-19,38
2023-02-04,82
2023-03-14,83
2023-01-01,62
2023-02-01,24
2023-02-18,88
2023-03-07,61
2023-02-24,31
2023-03-14,17
2023-02-18,23
2023-02-22,2
2023-03-12,79
2023-01-25,6
2023-02-26,81
2023-02-02,72
2023-03-12,78
2023-01-09,26
2023-03-02,3
2023-01-14,25
2023-02-27,42
2023-01-30,89
2023-02-21,57
2023-03-09,37
2023-03-10,71
2023-01-14,47
2023-02-06,39
2023-03-08,98
2023-02-15,16
2023-02-04,85
2023-01-29,26
2023-01-03,12
2023-01-09,82
2023-01-31,76
2023-01-18,33
2023-02-17,50
2023-01-14,21
2023-01-25,4
2023-03-01,9
2023-01-03,35
2023-01-26,37
2023-01-26,56
2023-02-11,59
2023-02-07,19
2023-03-05,19
2023-01-09,17
2023-01-18,36
2023-01-18,31
2023-01-30,96
2023-02-26,16
2023-02-07,57
2023-02-15,58
2023-02-16,46
2023-02-13,90
2023-02-02,54
2023-02-28,41
2023-01-11,46
2023-02-16,24
2023-02-16,35
2023-01-22,16
2023-01-11,80
2023-02-28,30
2023-01-24,99
2023-01-21,83
2023-02-08,70
2023-02-21,70
2023-01-09,59
2023-01-19,74
2023-02-23,85
2023-01-28,4
2023-01-20,60
2023-02-24,81
2023-01-17,22
2023-01-25,32
2023-03-05,63
2023-02-26,43
2023-01-18,98
2023-01-16,76
2023-01-22,66
2023-02-05,50
2023-01-29,19
2023-02-22,87
2023-02-19,20
2023-03-11,54
2023-01-17,83
2023-02-13,99
2023-03-11,58
2023-02-15,9
2023-01-15,96
2023-01-09,98
2023-03-07,9
2023-02-22,84
2023-01-12,12
2023-01-24,33
2023-01-19,36
2023-03-01,99
2023-03-11,88
2023-02-06,45
2023-02-05,23
2023-02-14,76
2023-03-02,46
2023-01-23,58
2023-02-15,99
2023-02-19,5
2023-02-22,33
2023-02-04,84
2023-01-09,23
2023-03-01,52
2023-01-12,14
2023-02-18,13
2023-01-17,3
2023-01-13,78
2023-01-10,7
2023-01-21,61
2023-02-06,22
2023-03-05,66
2023-01-16,63
2023-02-19,79
2023-02-19,30
2023-01-19,86
2023-02-12,23
2023-03-06,79
2023-01-19,91
2023-01-31,28
2023-03-04,77
2023-02-11,86
2023-01-08,26
2023-02-07,20
2023-01-27,78
2023-01-19,92
2023-01-22,54
2023-02-19,100
2023-01-18,74
2023-02-01,43
2023-02-03,83
2023-03-06,55
2023-01-15,41
2023-02-03,18
2023-03-14,28
2023-01-14,51
2023-01-14,7
2023-03-09,18
2023-01-25,47
2023-02-12,33
2023-01-09,6
2023-03-02,80
2023-02-04,98
2023-02-24,23
2023-01-15,45
2023-02-24,88
2023-03-04,36
2023-02-18,43
2023-02-16,36
2023-01-27,52
2023-03-08,66
2023-02-17,77
2023-01-28,72
2023-03-01,28
2023-02-10,90
2023-01-04,35
2023-01-06,46
2023-02-12,88
2023-01-17,90
2023-02-14,3
2023-02-19,34
2023-01-09,44
2023-01-16,22
2023-02-24,83
2023-02-18,40
2023-02-01,62
2023-02-25,94
2023-03-14,28
2023-01-18,69
2023-01-22,75
2023-01-27,34
2023-03-03,41
2023-02-12,74
2023-02-10,9
2023-01-19,86
2023-01-25,31
2023-01-04,61
2023-02-11,3
2023-02-12,58
2023-01-23,31
2023-01-31,60
2023-01-29,79
2023-02-01,10
2023-01-06,61
2023-01-01,74
2023-01-09,13
2023-01-12,49
2023-01-15,85
2023-01-18,19
2023-03-08,85
2023-01-10,6
2023-01-22,100
2023-03-10,76
2023-02-08,9
2023-03-12,30
2023-03-01,4
2023-02-27,24
2023-02-09,92
2023-02-18,60
2023-01-22,7
2023-02-21,83
2023-02-10,35
2023-02-19,53
2023-01-09,30
2023-02-11,7
2023-01-12,34
2023-02-19,61
2023-02-27,70
2023-01-04,46
2023-02-18,100
2023-02-26,33
2023-02-23,48
2023-02-02,49
2023-02-12,19
2023-02-03,11
2023-03-07,10
2023-02-02,94
2023-03-12,89
2023-02-27,77
2023-03-09,54
2023-02-10,56
2023-02-05,16
2023-01-03,34
2023-02-21,83
2023-03-09,30
2023-02-14,11
2023-02-23,74
2023-02-04,20
2023-02-03,3
2023-01-19,58
2023-01-05,59
2023-03-04,97
2023-03-07,49
2023-01-19,14
2023-03-11,84
2023-03-12,86
2023-01-30,46
2023-01-15,68
2023-02-17,62
2023-02-25,66
2023-02-26,57
2023-01-25,68
2023-03-03,18
2023-01-01,17
2023-02-08,52
2023-02-22,26
2023-02-10,72
2023-01-03,80
2023-01-08,19
2023-03-06,93
2023-01-14,75
2023-02-12,28
2023-02-05,83
2023-01-02,82
2023-01-04,92
2023-01-19,37
2023-02-16,1
2023-01-20,15
2023-03-05,20
2023-02-17,32
2023-03-03,49
2023-01-18,2
2023-01-07,64
2023-01-02,44
2023-03-13,26
2023-01-09,11
2023-02-10,49
2023-03-06,62
2023-03-04,81
2023-03-10,18
2023-02-11,49
2023-02-03,47
2023-02-22,43
2023-03-05,41
2023-01-16,57
2023-01-27,8
2023-01-30,73
2023-02-03,37
2023-03-08,48
2023-03-03,36
2023-03-13,93
2023-02-23,93
2023-01-20,52
2023-02-08,100
2023-02-21,38
2023-02-12,98
2023-02-03,22
2023-02-01,36
2023-02-17,70
2023-03-03,4
2023-03-08,37
2023-02-02,87
2023-01-17,52
2023-02-10,56
2023-02-15,59
2023-02-13,46
2023-03-06,85
2023-03-02,29
2023-01-29,8
2023-02-07,29
2023-01-09,19
2023-01-07,87
2023-01-13,66
2023-02-16,80
2023-03-02,21
2023-01-27,70
2023-01-25,27
2023-02-28,85
2023-01-11,91
2023-02-14,75
2023-02-28,44
2023-02-20,70
2023-01-03,73
2023-02-09,24
2023-01-16,81
2023-01-05,31
2023-01-19,35
2023-01-30,60
2023-02-18,1
2023-01-02,17
2023-02-26,6
2023-02-14,83
2023-01-30,25
2023-02-05,25
2023-03-12,53
2023-02-27,27
2023-01-27,47
2023-02-03,16
2023-03-06,71
2023-01-23,31
2023-02-15,3
2023-03-10,84
2023-02-25,73
2023-02-19,34
2023-01-16,47
2023-01-23,87
2023-02-02,32
2023-01-30,84
2023-02-16,16
2023-03-10,100
2023-01-31,64
2023-02-16,38
2023-01-20,22
2023-01-11,95
2023-01-13,48
2023-01-25,47
2023-01-22,17
2023-01-12,77
2023-02-05,88
2023-03-09,95
2023-02-11,56
2023-03-13,68
2023-03-07,11
2023-02-11,52
2023-03-01,14
2023-03-08,51
2023-02-10,50
2023-01-05,53
2023-02-12,26
2023-01-04,49
2023-01-08,58
2023-01-12,26
2023-01-24,54
2023-02-10,2
2023-02-05,84
2023-01-23,14
2023-02-25,14
2023-01-21,62
2023-02-24,71
2023-03-05,60
2023-03-10,59
2023-02-09,100
2023-02-09,61
2023-01-22,67
2023-01-20,19
2023-01-06,24
2023-03-06,19
2023-02-25,44
2023-02-26,63
2023-02-28,47
2023-01-02,33
2023-02-14,80
2023-01-17,37
2023-02-16,91
2023-01-27,32
2023-02-25,54
2023-02-12,37
2023-02-19,11
2023-02-28,49
2023-01-03,32
2023-02-25,46
2023-02-04,44
2023-01-12,75
2023-01-30,75
2023-03-01,21
2023-03-09,69
2023-02-27,29
2023-02-27,57
2023-02-07,58
2023-01-07,55
2023-02-28,10
2023-02-28,26
2023-01-08,36
2023-02-12,78
2023-01-06,25
2023-03-10,38
2023-01-17,13
2023-01-23,95
2023-01-18,91
2023-01-08,13
2023-02-16,51
2023-03-09,97
2023-03-12,82
2023-03-07,94
2023-01-10,86
2023-02-04,45
2023-01-04,86
2023-03-06,94
2023-02-08,54
2023-01-09,99
2023-02-02,46
2023-02-06,93
2023-01-04,89
2023-03-07,99
2023-02-22,98
2023-01-30,18
2023-02-04,93
2023-01-18,37
2023-02-19,18
2023-03-04,57
2023-03-07,49
2023-03-05,28
2023-02-14,24
2023-01-13,33
2023-01-18,22
2023-02-04,87
2023-02-22,44
2023-03-11,11
2023-02-19,79
2023-01-05,55
2023-01-07,63
2023-02-24,2
2023-03-01,41
2023-01-23,36
2023-03-08,94
2023-02-09,95
2023-01-26,12
2023-02-13,91
2023-03-13,11
2023-01-18,91
2023-01-08,95
2023-01-14,42
2023-03-10,48
2023-02-15,9
2023-01-15,68
2023-02-06,10
2023-03-13,92
2023-02-12,59
2023-02-02,40
2023-02-18,97
2023-01-20,20
2023-02-25,76
2023-01-14,47
2023-03-03,73
2023-01-26,4
2023-01-10,90
2023-02-11,85
2023-03-06,44
2023-02-22,33
2023-02-01,59
2023-02-25,3
2023-02-27,82
2023-01-13,41
2023-01-24,92
2023-03-10,67
2023-03-12,45
2023-02-03,53
2023-02-14,29
2023-03-11,32
2023-03-08,62
2023-03-07,93
2023-01-25,81
2023-01-12,20
2023-02-10,1
2023-02-20,29
2023-03-02,30
2023-01-30,93
2023-01-17,28
2023-03-06,30
2023-03-03,83
2023-02-18,91
2023-03-06,30
2023-02-10,80
2023-02-08,54
2023-02-14,70
2023-01-06,72
2023-03-12,38
2023-02-07,89
2023-01-17,51
2023-03-04,28
2023-03-11,46
2023-01-20,75
2023-03-12,18
2023-02-11,89
2023-02-24,64
2023-02-12,44
2023-01-25,2
2023-01-15,78
2023-02-09,31
2023-02-08,61
2023-01-31,100
2023-01-01,27
2023-01-02,87
2023-03-08,12
2023-03-02,37
2023-01-21,22
2023-01-20,80
2023-02-18,38
2023-03-09,37
2023-01-19,78
2023-03-13,52
2023-03-08,57
2023-01-15,40
2023-03-14,59
2023-02-20,33
2023-01-04,74
2023-03-05,88
2023-01-22,37
2023-01-22,35
2023-03-12,80
2023-02-03,65
2023-02-14,59
2023-02-20,71
2023-02-05,35
2023-02-01,36
2023-02-23,43
2023-01-27,17
2023-03-09,3
2023-01-26,27
2023-01-04,96
2023-01-31,18
2023-02-06,27
2023-01-25,78
2023-02-17,62
2023-03-11,61
2023-03-07,85
2023-01-01,92
2023-01-31,80
2023-01-20,34
2023-03-12,77
2023-01-20,59
2023-01-31,58
2023-01-17,25
2023-01-07,58
2023-01-13,42
2023-03-09,41
2023-02-13,61
2023-02-02,62
2023-02-16,58
2023-02-17,45
2023-01-28,90
2023-02-24,95
2023-03-14,23
2023-02-18,85
2023-01-26,29
2023-02-19,26
2023-02-08,23
2023-01-24,24
2023-03-12,17
2023-02-18,52
2023-03-14,62
2023-02-27,19
2023-01-16,94
2023-02-23,66
2023-01-05,28
2023-02-24,75
2023-02-18,65
2023-01-21,10
2023-02-06,99
2023-01-17,59
2023-02-24,44
2023-02-22,75
2023-01-10,82
2023-01-21,14
2023-01-16,57
2023-01-27,12
2023-03-03,81
2023-01-30,53
2023-02-04,100
