stock_xfer_date,stock_qty,product,prod_price,prod_dimensions
2/14/2023,16,Monitor,363.88,7x10x20 cm
2/21/2023,33,Headphones,200.63,15x12x18 cm
1/17/2023,81,Laptop,96.08,13x20x15 cm
1/19/2023,78,Smartphone,291.61,10x5x15 cm
3/8/2023,42,Monitor,185.55,6x13x8 cm
1/14/2023,5,Smartphone,38.26,16x8x18 cm
3/14/2023,71,Smartphone,204.06,7x9x12 cm
3/12/2023,34,Smartphone,148.73,17x13x7 cm
3/8/2023,35,Headphones,490.69,5x14x5 cm
1/12/2023,92,Headphones,28.1,7x11x16 cm
1/3/2023,100,Headphones,25.98,20x6x11 cm
3/14/2023,5,Monitor,214.18,6x16x18 cm
1/14/2023,52,Headphones,342.29,18x16x6 cm
1/4/2023,47,Smartphone,271.81,5x10x15 cm
3/14/2023,39,Smartphone,236.06,18x10x7 cm
1/6/2023,16,Laptop,40.89,17x16x20 cm
1/31/2023,82,Monitor,393.4,14x15x10 cm
2/1/2023,8,Monitor,189.97,10x18x12 cm
1/15/2023,61,Smartphone,364.05,17x20x18 cm
1/28/2023,24,Monitor,471.21,6x7x10 cm
2/6/2023,23,Headphones,258.61,15x10x10 cm
2/5/2023,92,Smartphone,118.06,13x7x6 cm
2/28/2023,3,Headphones,140.64,9x11x19 cm
1/26/2023,27,Laptop,472.02,16x12x13 cm
1/8/2023,5,Monitor,489.28,7x16x17 cm
3/7/2023,13,Smartphone,398.27,11x12x14 cm
2/5/2023,88,Headphones,348.74,5x14x14 cm
1/22/2023,55,Headphones,430.4,11x10x19 cm
3/1/2023,11,Smartphone,430.03,20x17x10 cm
1/5/2023,90,Smartphone,139.97,10x6x6 cm
2/23/2023,1,Monitor,172.59,6x11x9 cm
1/9/2023,31,Headphones,467.79,11x12x16 cm
2/20/2023,53,Laptop,320.77,12x15x10 cm
1/22/2023,9,Headphones,469.77,11x10x10 cm
1/25/2023,55,Monitor,49.38,7x13x11 cm
3/3/2023,34,Smartphone,228.25,20x18x8 cm
1/2/2023,69,Headphones,165.66,15x8x13 cm
3/5/2023,71,Laptop,47.85,17x7x5 cm
2/11/2023,34,Laptop,125.96,19x10x14 cm
1/11/2023,32,Monitor,375.22,18x10x20 cm
2/12/2023,49,Headphones,269,19x10x10 cm
2/15/2023,75,Monitor,326.1,20x5x12 cm
1/4/2023,55,Laptop,53.97,19x6x19 cm
1/6/2023,69,Laptop,478.13,7x9x16 cm
1/10/2023,96,Monitor,479.52,14x10x7 cm
1/8/2023,77,Headphones,423.42,9x20x11 cm
1/15/2023,81,Headphones,173.01,17x15x14 cm
3/3/2023,70,Laptop,401.24,15x15x16 cm
1/17/2023,5,Smartphone,189.28,10x20x9 cm
3/1/2023,66,Monitor,459.95,5x8x13 cm
2/10/2023,28,Monitor,410.3,8x9x10 cm
3/6/2023,10,Headphones,269.52,12x20x10 cm
1/13/2023,21,Smartphone,399.74,5x18x6 cm
1/22/2023,23,Headphones,254.97,7x10x14 cm
3/8/2023,71,Headphones,367.74,19x12x19 cm
1/30/2023,35,Laptop,268.1,11x9x14 cm
1/15/2023,86,Headphones,415.53,20x12x16 cm
3/11/2023,86,Monitor,174.26,20x19x20 cm
1/5/2023,50,Laptop,408.28,18x12x7 cm
2/19/2023,24,Monitor,48.82,19x5x18 cm
2/28/2023,32,Monitor,491.76,13x5x15 cm
3/1/2023,39,Laptop,11.18,7x19x17 cm
2/27/2023,56,Monitor,197.43,18x7x19 cm
3/8/2023,43,Smartphone,419.47,16x19x13 cm
1/3/2023,99,Laptop,427.2,16x17x6 cm
1/14/2023,67,Monitor,56.45,12x14x19 cm
1/23/2023,74,Headphones,332.72,7x8x13 cm
2/25/2023,99,Monitor,267.42,12x5x10 cm
1/4/2023,73,Smartphone,227.51,17x15x10 cm
2/2/2023,80,Smartphone,366.64,14x12x11 cm
1/10/2023,46,Monitor,150.56,11x5x5 cm
1/9/2023,62,Headphones,151.08,12x17x7 cm
3/12/2023,42,Smartphone,202.02,6x11x10 cm
1/24/2023,98,Smartphone,286.07,16x6x9 cm
1/23/2023,6,Laptop,100.38,5x15x5 cm
3/3/2023,67,Headphones,289.74,9x10x12 cm
1/5/2023,19,Laptop,71.17,18x8x19 cm
2/3/2023,14,Headphones,203.71,11x12x5 cm
1/31/2023,69,Smartphone,90.74,5x18x17 cm
2/4/2023,29,Headphones,23.68,15x14x19 cm
2/24/2023,85,Headphones,318.7,19x13x15 cm
1/5/2023,12,Headphones,269.58,9x17x19 cm
1/1/2023,16,Monitor,341.11,6x14x14 cm
1/24/2023,73,Smartphone,168.63,13x6x9 cm
3/11/2023,31,Smartphone,209.67,10x7x13 cm
1/31/2023,6,Laptop,413.86,19x12x18 cm
1/23/2023,49,Smartphone,63.77,13x18x14 cm
2/13/2023,76,Smartphone,10.27,10x7x19 cm
2/24/2023,67,Monitor,290.2,14x10x14 cm
1/22/2023,26,Headphones,217.57,13x10x11 cm
2/2/2023,71,Smartphone,113.25,17x6x17 cm
2/14/2023,35,Smartphone,211.85,5x15x17 cm
1/10/2023,79,Headphones,372.55,10x10x8 cm
1/30/2023,13,Headphones,26.47,6x11x5 cm
1/21/2023,25,Headphones,261.63,16x19x14 cm
2/13/2023,14,Smartphone,207.4,9x15x14 cm
3/9/2023,75,Monitor,239.16,7x16x10 cm
2/8/2023,1,Headphones,422.43,13x10x11 cm
2/16/2023,64,Monitor,226.27,16x10x7 cm
2/2/2023,32,Headphones,289.06,19x14x7 cm
2/14/2023,78,Headphones,70.99,13x17x10 cm
2/5/2023,53,Headphones,373.53,10x18x6 cm
2/4/2023,68,Monitor,270.63,17x5x16 cm
3/6/2023,90,Smartphone,156.5,14x19x8 cm
1/8/2023,43,Headphones,183.67,14x20x15 cm
3/5/2023,50,Headphones,130.44,17x15x18 cm
1/18/2023,27,Headphones,219.75,16x16x10 cm
2/27/2023,55,Smartphone,114.58,20x17x12 cm
2/25/2023,28,Headphones,283.59,8x6x19 cm
2/26/2023,11,Monitor,89.44,6x9x10 cm
1/19/2023,73,Headphones,93.66,5x15x13 cm
2/14/2023,76,Smartphone,236.17,8x14x20 cm
2/26/2023,83,Smartphone,98.36,11x11x17 cm
1/23/2023,55,Headphones,18.02,13x11x18 cm
1/5/2023,30,Headphones,271.83,7x19x9 cm
1/24/2023,24,Monitor,240.93,9x5x6 cm
1/20/2023,35,Headphones,345.04,16x13x13 cm
3/1/2023,73,Laptop,78.72,7x7x8 cm
1/7/2023,92,Headphones,170.43,18x16x15 cm
1/31/2023,95,Smartphone,392.02,19x10x13 cm
2/3/2023,7,Laptop,108.41,7x13x20 cm
3/1/2023,11,Smartphone,237.61,17x18x9 cm
2/28/2023,99,Laptop,128.34,18x18x14 cm
3/3/2023,10,Monitor,178.42,19x18x20 cm
1/15/2023,15,Headphones,407.95,11x20x12 cm
1/28/2023,95,Headphones,18.31,20x18x13 cm
2/20/2023,4,Smartphone,415.3,15x15x13 cm
2/10/2023,14,Smartphone,406.21,14x13x18 cm
1/10/2023,13,Smartphone,43.56,11x19x15 cm
2/25/2023,78,Laptop,346.91,20x13x16 cm
2/20/2023,77,Monitor,416.05,5x8x18 cm
3/14/2023,83,Monitor,108.29,5x16x16 cm
3/2/2023,36,Headphones,460.24,14x6x19 cm
1/2/2023,24,Monitor,416.61,12x15x6 cm
1/7/2023,71,Headphones,43.72,17x7x17 cm
2/24/2023,68,Monitor,214.3,16x9x20 cm
1/16/2023,8,Smartphone,198.11,8x6x9 cm
2/27/2023,38,Monitor,339.24,7x16x10 cm
2/13/2023,2,Monitor,101.63,19x5x14 cm
2/5/2023,64,Laptop,99.53,10x9x18 cm
1/14/2023,2,Monitor,29.42,5x10x10 cm
2/14/2023,89,Monitor,168.63,13x7x8 cm
2/7/2023,25,Monitor,195.8,18x15x17 cm
3/8/2023,81,Laptop,214.22,10x10x5 cm
3/5/2023,44,Laptop,333.47,15x14x14 cm
1/28/2023,89,Monitor,231.2,20x8x15 cm
3/4/2023,100,Monitor,296.88,20x9x8 cm
2/11/2023,47,Monitor,327.46,18x10x15 cm
3/1/2023,30,Headphones,440.34,20x14x9 cm
2/1/2023,79,Laptop,488.27,6x5x17 cm
2/4/2023,45,Headphones,188.95,5x14x19 cm
2/6/2023,62,Laptop,323.15,13x7x16 cm
1/17/2023,61,Headphones,264.87,17x8x20 cm
3/12/2023,42,Headphones,214.79,14x6x20 cm
1/17/2023,91,Monitor,343.92,7x19x5 cm
2/14/2023,29,Laptop,29.16,10x10x17 cm
2/4/2023,62,Laptop,111.06,16x9x15 cm
1/23/2023,13,Monitor,41.97,9x11x10 cm
2/5/2023,61,Laptop,34.39,11x10x14 cm
3/12/2023,19,Headphones,147.72,18x16x14 cm
1/10/2023,64,Monitor,191.33,5x11x7 cm
3/12/2023,83,Monitor,96,17x19x14 cm
2/8/2023,59,Monitor,383.05,12x5x12 cm
2/12/2023,87,Headphones,87.96,17x10x20 cm
1/12/2023,69,Laptop,96.53,19x13x9 cm
2/24/2023,42,Smartphone,391.71,6x13x13 cm
1/24/2023,48,Monitor,313.13,13x7x14 cm
3/4/2023,31,Smartphone,324.22,8x18x11 cm
2/23/2023,78,Monitor,252.3,16x18x11 cm
1/27/2023,93,Laptop,149.17,8x13x8 cm
3/12/2023,11,Headphones,25.65,12x17x20 cm
3/1/2023,67,Headphones,64.79,10x7x10 cm
3/3/2023,50,Headphones,362.78,17x19x19 cm
1/15/2023,5,Smartphone,450.42,13x5x19 cm
3/6/2023,53,Monitor,134.15,12x7x6 cm
3/3/2023,19,Monitor,207.8,7x18x18 cm
1/2/2023,75,Laptop,87.44,16x16x5 cm
1/10/2023,75,Monitor,295.56,5x15x19 cm
1/20/2023,24,Smartphone,43.25,19x17x18 cm
1/24/2023,39,Laptop,368.01,10x11x16 cm
1/10/2023,13,Laptop,411.18,15x7x18 cm
1/2/2023,49,Monitor,96.05,7x14x15 cm
2/12/2023,99,Monitor,308.81,16x15x11 cm
2/24/2023,9,Laptop,32.4,17x8x12 cm
3/12/2023,97,Smartphone,127.65,10x9x13 cm
1/28/2023,31,Laptop,400.27,8x6x20 cm
3/12/2023,95,Monitor,216.58,19x9x13 cm
2/8/2023,46,Headphones,153.19,10x10x9 cm
2/8/2023,25,Smartphone,195.43,7x15x6 cm
3/13/2023,90,Monitor,63.08,10x20x6 cm
2/11/2023,53,Headphones,378.11,12x11x20 cm
1/8/2023,15,Headphones,145.83,12x12x14 cm
3/5/2023,84,Laptop,468.79,20x19x12 cm
2/22/2023,37,Monitor,410.35,12x5x16 cm
3/7/2023,59,Monitor,494.76,12x10x11 cm
2/21/2023,59,Monitor,115.36,9x17x18 cm
1/3/2023,56,Monitor,253.74,16x16x9 cm
2/21/2023,2,Smartphone,88.43,10x13x18 cm
2/9/2023,9,Headphones,398.79,11x7x13 cm
2/11/2023,69,Laptop,437.51,9x12x18 cm
2/2/2023,8,Smartphone,331.22,19x6x18 cm
2/17/2023,93,Monitor,207.46,11x7x20 cm
2/13/2023,29,Smartphone,497.16,15x17x14 cm
2/23/2023,29,Headphones,252.68,16x13x13 cm
1/24/2023,54,Laptop,59.53,19x17x20 cm
2/28/2023,4,Smartphone,110.65,20x6x19 cm
1/17/2023,12,Smartphone,429.2,14x17x13 cm
1/16/2023,38,Monitor,305.92,6x18x11 cm
1/1/2023,76,Smartphone,436.31,8x19x18 cm
2/2/2023,84,Headphones,477.13,19x12x6 cm
2/5/2023,14,Headphones,243.06,8x15x16 cm
3/3/2023,30,Smartphone,348.41,7x15x17 cm
3/2/2023,48,Headphones,13.47,17x19x9 cm
1/21/2023,52,Headphones,454.3,7x11x8 cm
1/8/2023,49,Laptop,85.52,13x12x10 cm
1/23/2023,98,Monitor,67.64,5x18x15 cm
1/31/2023,30,Laptop,266.61,15x19x16 cm
2/24/2023,72,Laptop,434.36,5x11x16 cm
2/22/2023,39,Smartphone,405.26,18x13x15 cm
2/13/2023,2,Monitor,134.76,6x15x14 cm
3/2/2023,38,Monitor,469.32,16x7x18 cm
2/22/2023,9,Headphones,452.88,16x10x12 cm
3/7/2023,91,Smartphone,128.06,11x16x15 cm
1/23/2023,19,Laptop,237.37,8x16x13 cm
1/23/2023,84,Laptop,50.5,13x9x6 cm
1/31/2023,35,Monitor,188.43,9x15x12 cm
1/22/2023,71,Monitor,114.61,11x9x19 cm
2/2/2023,4,Monitor,333.08,11x14x12 cm
2/20/2023,19,Monitor,427.79,17x7x17 cm
1/7/2023,57,Laptop,220.17,14x5x20 cm
1/28/2023,100,Headphones,32.11,6x16x19 cm
3/14/2023,42,Monitor,357.12,9x17x16 cm
1/10/2023,45,Smartphone,301.53,20x10x11 cm
3/4/2023,2,Smartphone,280.59,10x14x16 cm
3/6/2023,67,Smartphone,317.15,12x16x8 cm
1/26/2023,82,Smartphone,358.96,6x11x16 cm
2/4/2023,3,Monitor,192.01,15x11x5 cm
3/4/2023,17,Smartphone,277.69,17x17x6 cm
1/26/2023,34,Laptop,11.23,8x16x7 cm
1/5/2023,63,Monitor,439.17,5x9x6 cm
1/11/2023,6,Monitor,283.79,17x18x18 cm
1/16/2023,50,Smartphone,102.16,14x18x6 cm
2/6/2023,17,Smartphone,64.05,12x12x6 cm
2/10/2023,42,Headphones,341.13,18x12x14 cm
2/17/2023,95,Smartphone,370.73,5x20x17 cm
2/26/2023,39,Smartphone,405.49,7x8x19 cm
1/30/2023,8,Smartphone,128.01,5x19x12 cm
2/17/2023,31,Monitor,468.16,8x12x9 cm
2/9/2023,60,Headphones,275.88,19x16x10 cm
1/14/2023,12,Laptop,92.84,17x17x15 cm
2/20/2023,43,Monitor,481.41,17x17x17 cm
1/28/2023,8,Headphones,47.54,9x8x7 cm
2/1/2023,80,Monitor,233.08,12x15x15 cm
1/16/2023,43,Headphones,164.54,18x9x17 cm
3/12/2023,91,Smartphone,85.04,11x14x9 cm
1/9/2023,91,Laptop,460.04,15x15x16 cm
2/26/2023,19,Monitor,481.75,18x18x16 cm
3/10/2023,45,Laptop,376.79,19x18x13 cm
1/29/2023,13,Laptop,320.6,6x11x9 cm
1/22/2023,93,Headphones,365.63,14x17x14 cm
3/9/2023,97,Smartphone,469.67,10x10x5 cm
2/28/2023,89,Smartphone,50.66,5x6x13 cm
1/1/2023,21,Smartphone,102.22,19x18x15 cm
1/16/2023,47,Smartphone,278.24,11x13x10 cm
2/18/2023,19,Smartphone,465.13,13x20x9 cm
1/14/2023,90,Monitor,300.7,10x6x18 cm
2/6/2023,80,Smartphone,133.54,8x16x16 cm
1/14/2023,37,Headphones,352.48,10x6x20 cm
1/19/2023,26,Smartphone,139.83,13x10x19 cm
2/11/2023,24,Laptop,87.41,15x13x15 cm
2/12/2023,34,Headphones,22.96,14x17x10 cm
1/19/2023,64,Monitor,267.59,14x8x17 cm
3/11/2023,99,Headphones,458.62,8x10x12 cm
1/28/2023,82,Laptop,199.43,8x11x6 cm
2/26/2023,25,Laptop,33.61,17x7x9 cm
2/4/2023,51,Headphones,388.85,13x14x6 cm
1/25/2023,3,Laptop,34.73,13x13x16 cm
2/20/2023,3,Monitor,360.51,8x12x19 cm
1/9/2023,4,Monitor,394.78,10x9x7 cm
1/26/2023,93,Monitor,225.2,14x11x15 cm
2/17/2023,67,Monitor,193.86,19x17x10 cm
1/1/2023,12,Smartphone,123.32,6x9x15 cm
1/3/2023,63,Headphones,410.86,13x7x13 cm
1/22/2023,78,Headphones,314.07,13x13x7 cm
2/9/2023,71,Monitor,315.27,14x14x15 cm
1/17/2023,58,Monitor,455.97,19x14x10 cm
2/18/2023,11,Headphones,125.53,6x11x13 cm
3/14/2023,17,Headphones,301.33,11x9x18 cm
2/1/2023,19,Laptop,496.12,13x5x15 cm
2/18/2023,34,Smartphone,370.54,15x19x15 cm
1/8/2023,87,Monitor,216.9,13x12x14 cm
1/30/2023,87,Smartphone,482.09,5x8x6 cm
1/7/2023,10,Monitor,78.59,5x6x12 cm
1/12/2023,54,Smartphone,62.47,8x13x5 cm
2/28/2023,69,Laptop,116.07,16x14x18 cm
3/14/2023,90,Smartphone,110.47,18x10x12 cm
1/23/2023,73,Monitor,465.14,12x7x19 cm
3/8/2023,18,Smartphone,368.61,16x11x20 cm
1/17/2023,29,Headphones,373.24,8x5x19 cm
2/28/2023,45,Headphones,478.18,13x20x13 cm
1/16/2023,11,Smartphone,388.3,12x6x19 cm
2/27/2023,55,Laptop,350.57,10x13x7 cm
1/8/2023,40,Headphones,481.38,12x19x20 cm
1/29/2023,60,Laptop,87.38,19x12x12 cm
3/11/2023,92,Smartphone,494.24,9x20x20 cm
2/18/2023,86,Smartphone,72.51,8x12x13 cm
2/11/2023,97,Headphones,15.93,8x8x5 cm
1/7/2023,100,Headphones,296.67,20x14x20 cm
1/12/2023,50,Headphones,161.15,9x11x10 cm
2/25/2023,82,Smartphone,185.98,9x12x10 cm
3/14/2023,58,Headphones,15.47,7x18x18 cm
1/19/2023,49,Monitor,146.39,19x5x18 cm
3/2/2023,25,Headphones,139.29,19x17x10 cm
1/10/2023,30,Headphones,66.27,12x11x14 cm
2/10/2023,53,Headphones,69.89,14x17x17 cm
1/16/2023,37,Monitor,465.73,20x19x18 cm
2/8/2023,18,Smartphone,299.47,16x6x10 cm
3/12/2023,72,Headphones,305.84,15x5x12 cm
2/4/2023,7,Headphones,118.5,19x13x7 cm
1/9/2023,5,Smartphone,292.89,7x14x10 cm
2/27/2023,52,Smartphone,473.08,19x15x15 cm
1/1/2023,31,Headphones,70.58,18x12x18 cm
2/19/2023,71,Headphones,495.7,13x6x9 cm
3/8/2023,6,Laptop,499.27,16x16x5 cm
1/17/2023,10,Monitor,387.44,8x14x15 cm
2/26/2023,29,Smartphone,361.2,6x13x15 cm
2/7/2023,11,Monitor,437.55,13x6x15 cm
1/28/2023,30,Monitor,460.65,17x5x20 cm
2/12/2023,34,Headphones,315.06,5x10x8 cm
3/11/2023,82,Smartphone,427.99,15x18x10 cm
2/28/2023,41,Smartphone,382.23,14x11x18 cm
3/5/2023,9,Monitor,82.02,14x16x11 cm
1/24/2023,29,Monitor,214.45,18x11x20 cm
1/21/2023,62,Headphones,415.38,7x9x18 cm
3/9/2023,70,Monitor,382.45,6x14x6 cm
2/14/2023,33,Monitor,119.14,15x12x19 cm
2/11/2023,89,Smartphone,197.23,7x10x12 cm
2/4/2023,32,Headphones,352.93,5x16x19 cm
2/11/2023,72,Headphones,372.87,20x13x16 cm
1/18/2023,43,Laptop,433.4,19x11x14 cm
1/11/2023,53,Laptop,266.13,17x16x17 cm
3/5/2023,61,Headphones,480.97,20x15x11 cm
2/28/2023,67,Laptop,38.34,12x7x18 cm
3/14/2023,53,Headphones,428.67,9x9x12 cm
2/22/2023,12,Smartphone,208.85,17x19x19 cm
1/28/2023,57,Headphones,197.67,18x14x12 cm
2/15/2023,83,Headphones,128.28,13x13x17 cm
2/8/2023,24,Monitor,346.84,18x20x10 cm
3/14/2023,56,Smartphone,219.32,9x14x17 cm
2/28/2023,31,Headphones,214.85,13x6x10 cm
2/25/2023,87,Laptop,320.27,20x19x17 cm
3/5/2023,73,Monitor,23.9,16x9x15 cm
3/2/2023,13,Smartphone,293.57,6x15x12 cm
2/9/2023,35,Headphones,41.57,12x17x7 cm
1/11/2023,93,Monitor,183.6,17x15x5 cm
2/15/2023,36,Smartphone,386.57,13x13x17 cm
1/30/2023,18,Monitor,37.76,15x11x20 cm
3/10/2023,82,Headphones,294.02,13x9x11 cm
1/7/2023,57,Smartphone,269.78,19x14x14 cm
1/13/2023,22,Monitor,236.91,12x8x19 cm
2/10/2023,14,Smartphone,94.51,15x18x15 cm
2/8/2023,81,Laptop,395.42,12x8x18 cm
1/27/2023,80,Laptop,466.02,8x13x15 cm
1/24/2023,49,Headphones,348.49,9x19x15 cm
3/4/2023,73,Laptop,222.52,14x17x20 cm
2/9/2023,67,Headphones,289.96,16x10x7 cm
3/11/2023,73,Laptop,487.21,13x18x12 cm
1/3/2023,9,Headphones,320.87,19x14x14 cm
3/13/2023,99,Monitor,71.7,18x11x16 cm
2/20/2023,58,Laptop,118.51,5x11x16 cm
2/28/2023,93,Laptop,448.41,10x20x18 cm
2/4/2023,62,Smartphone,81.48,11x20x13 cm
1/7/2023,11,Smartphone,87.88,12x8x7 cm
1/13/2023,61,Monitor,146.6,11x7x17 cm
1/25/2023,32,Laptop,182.43,18x16x9 cm
1/26/2023,77,Monitor,359.04,17x6x8 cm
2/11/2023,33,Laptop,444.53,9x7x19 cm
2/28/2023,86,Headphones,487.73,5x12x5 cm
1/8/2023,79,Monitor,115.49,20x14x12 cm
1/10/2023,14,Smartphone,249.22,19x11x18 cm
3/5/2023,74,Smartphone,354.2,12x8x7 cm
1/26/2023,78,Smartphone,494.4,11x11x5 cm
2/25/2023,62,Smartphone,411.26,6x6x17 cm
2/23/2023,63,Headphones,112.97,18x10x18 cm
2/3/2023,54,Headphones,458.35,12x15x7 cm
1/5/2023,7,Smartphone,428.46,10x13x15 cm
3/12/2023,69,Monitor,285.71,19x11x9 cm
2/25/2023,29,Headphones,19.43,5x14x11 cm
1/9/2023,47,Monitor,225.85,8x6x5 cm
2/14/2023,23,Monitor,329.94,12x7x16 cm
1/28/2023,20,Smartphone,341,20x19x9 cm
3/4/2023,27,Monitor,133.67,9x12x6 cm
2/16/2023,42,Monitor,360.21,18x10x6 cm
1/7/2023,79,Laptop,329.86,20x19x19 cm
3/1/2023,50,Monitor,311.02,18x12x13 cm
3/8/2023,72,Headphones,38.43,10x7x14 cm
2/1/2023,3,Monitor,282.26,11x14x15 cm
1/19/2023,85,Smartphone,207.25,19x15x18 cm
1/24/2023,49,Headphones,174.27,11x14x9 cm
2/17/2023,25,Laptop,456.85,18x6x8 cm
1/22/2023,49,Monitor,456.34,8x12x17 cm
1/9/2023,60,Smartphone,45.56,13x12x19 cm
1/14/2023,31,Laptop,459.94,12x8x7 cm
2/23/2023,80,Smartphone,298.11,7x17x5 cm
2/27/2023,43,Monitor,183.88,17x20x17 cm
1/8/2023,62,Monitor,235.15,7x18x11 cm
1/4/2023,51,Monitor,428.52,8x6x17 cm
1/29/2023,11,Monitor,223.87,13x10x5 cm
1/25/2023,87,Headphones,179.33,17x10x19 cm
1/21/2023,84,Smartphone,328.15,13x20x15 cm
1/18/2023,73,Smartphone,16.08,16x13x10 cm
